uuid, epsilon, delta, n_categories, n_queries, n_users
51c128e1-cbb4-4952-9c19-595aa8664f23,0.1,0.0001,10,5,100
e8138146-5fc0-48fa-9e24-657001c912c4,0.1,0.0001,10,5,100
1946e975-77ce-4589-808e-d89b0e1e643b,0.1,0.0001,10,5,100
4537b392-b0ae-4f6d-864d-b0c426f777c7,0.1,0.0001,10,5,100
8e03c078-f873-49ef-bcf5-d380d1813489,0.1,0.0001,10,5,100
54ae279c-3c09-4333-9415-09b9389a3031,0.1,0.0001,100,5,100
07090ec0-2392-4197-8c5a-405dc920a5e7,0.1,0.0001,100,5,100
b120ed61-2aa1-4329-ad73-43002c1443db,0.1,0.0001,100,5,100
5c6a4c88-a657-46bf-8a02-72cbda2d1bf9,0.1,0.0001,100,5,100
da8b09e3-fc97-49e4-8816-cdc2af00cbf7,0.1,0.0001,100,5,100
40d8077c-6c01-4fc3-bce9-6f1fda79cf8d,0.1,0.0001,1000,5,100
452a145e-f999-47c1-9687-c1100713104b,0.1,0.0001,1000,5,100
c1f0f416-0353-4c49-9a69-80409594780b,0.1,0.0001,1000,5,100
c1210ceb-f2e5-4eb3-bd48-bc5b6e1157f9,0.1,0.0001,1000,5,100
c0e0e534-2981-4a05-a6e1-3fe1a7693247,0.1,0.0001,1000,5,100
8cab2190-88d5-4ea8-8148-e7c19b3b74cd,0.1,0.001,10,5,100
42840927-cee8-4c9f-934b-0c8a49c9c745,0.1,0.001,10,5,100
36ae525e-0f1c-41e2-b1ab-3a0b394d8feb,0.1,0.001,10,5,100
c9073b2e-a3d6-432a-b116-b22d91a5a7f3,0.1,0.001,10,5,100
7567a98e-d9dd-4be3-9ac4-7f9e9f1b567c,0.1,0.001,10,5,100
6a305cc4-de10-492d-b157-fb0c83837de9,0.1,0.001,100,5,100
9e4803a5-c089-431b-9b05-3789ad7f9190,0.1,0.001,100,5,100
9b4ca040-0252-481d-84d4-466bc07470c4,0.1,0.001,100,5,100
ba242e48-af0e-4a4d-9298-384b7e780c3b,0.1,0.001,100,5,100
df0b1f3d-fe8d-4a46-85ec-1d6bdd59ec60,0.1,0.001,100,5,100
b8110cf3-7c44-4ec3-b065-d2ce1270c92f,0.1,0.001,1000,5,100
27720531-e5fe-4d61-8971-51f10f9606be,0.1,0.001,1000,5,100
8f937f8c-65e5-4d12-8993-fe819c267b9d,0.1,0.001,1000,5,100
12db9728-58ae-4064-997b-8864960e031c,0.1,0.001,1000,5,100
b5b2bb35-c677-4b3a-a1d8-37d0b070b283,0.1,0.001,1000,5,100
a20b7cdf-8f57-4b1f-a44f-296e2f87376a,0.1,0.01,10,5,100
5c35f67f-6898-4bd0-bf9a-1d8c00e3b073,0.1,0.01,10,5,100
00bb25c9-969c-4883-9652-a25c15a1f23e,0.1,0.01,10,5,100
199e00ea-391d-4a0c-823e-d16521c1ffb9,0.1,0.01,10,5,100
48334a99-5d6f-4b1b-9ad4-b4331d5b66dd,0.1,0.01,10,5,100
733556ee-9811-48a1-8e11-fadc1d06a74f,0.1,0.01,100,5,100
b69e3eeb-b589-40ce-ad13-d054b2e3de62,0.1,0.01,100,5,100
46b3b17d-b9f8-45c7-8e6f-ef985938a6c8,0.1,0.01,100,5,100
28d10c11-cea9-45fa-bb57-770097141470,0.1,0.01,100,5,100
705a821e-3551-4430-9bf4-d053a651b972,0.1,0.01,100,5,100
f394ce1d-e926-4ba9-ba13-6ed5ae5bed53,0.1,0.01,1000,5,100
f17605e7-40a1-4715-ab51-70d10aa731cf,0.1,0.01,1000,5,100
a23023b9-be9b-470b-8d5b-208facd687c5,0.1,0.01,1000,5,100
7f791e3e-c08d-4e6a-809e-85f9c04aec0c,0.1,0.01,1000,5,100
94fdb6d7-9540-4387-9a97-b6a25f571233,0.1,0.01,1000,5,100
742d1675-d183-42ff-b7db-4e6ffe6b5546,0.2,0.0001,10,5,100
d505767a-7231-473a-b49d-27dbed9ef4fc,0.2,0.0001,10,5,100
5760a2ad-7335-4c76-b1ba-bfc21035f20c,0.2,0.0001,10,5,100
41b2281c-7016-4ebf-8cac-379837ddb557,0.2,0.0001,10,5,100
9a6525f6-e347-487f-854e-5d3463e3aa4c,0.2,0.0001,10,5,100
6b150339-8571-4c54-b1f1-fbc4ffb24652,0.2,0.0001,100,5,100
d7af098f-940b-43c9-8b10-975f10f6d160,0.2,0.0001,100,5,100
dad31a93-f957-484f-98d4-7365238e9e06,0.2,0.0001,100,5,100
da78a6dc-6a6d-484f-97fd-8344d5759b5e,0.2,0.0001,100,5,100
e996ca19-8879-4711-8a0c-dc5344d4dddd,0.2,0.0001,100,5,100
4557c57e-1812-4920-9109-155b944f04f1,0.2,0.0001,1000,5,100
c005f697-7f46-4c47-9a8a-a6e7bb5c9d31,0.2,0.0001,1000,5,100
e3ab1c08-9f95-422f-a9f3-c22742892b50,0.2,0.0001,1000,5,100
2150e158-1ae2-4286-9e56-a66b8ee547bd,0.2,0.0001,1000,5,100
f10dfd83-c072-4a41-83a6-4113e465aff1,0.2,0.0001,1000,5,100
aa5a0a56-c7f7-447a-bc64-c4a9a5a94fc4,0.2,0.001,10,5,100
36310c25-e3eb-4be7-92e3-0293ba056f54,0.2,0.001,10,5,100
67eccf3d-8603-464e-a863-b4c2e4ecc95e,0.2,0.001,10,5,100
629de1ed-0427-4258-8304-236fe85137bd,0.2,0.001,10,5,100
5cc13760-0f02-4b1f-bbac-67396a6194e1,0.2,0.001,10,5,100
20bf66a3-2e2b-4861-93a7-edb8303bca79,0.2,0.001,100,5,100
98297db5-6bb3-4a5b-a9e7-d3e6208e59b5,0.2,0.001,100,5,100
6a3a2aac-7bb7-472a-815d-3948137c42d6,0.2,0.001,100,5,100
02a8728f-fe4e-41d1-880f-f68d599a09db,0.2,0.001,100,5,100
9c0f7ec6-74ab-4dd5-aae7-c7bff941901a,0.2,0.001,100,5,100
f0ba0f38-ae27-49f2-95fc-3f17d26ae85b,0.2,0.001,1000,5,100
85d49c3f-a6a7-40ae-863a-ee14ecea1eef,0.2,0.001,1000,5,100
342b3e83-d691-4800-baf8-bf7664270984,0.2,0.001,1000,5,100
4b8df93f-a2f4-45bc-8167-2b7f600a6451,0.2,0.001,1000,5,100
52440ded-c427-4679-9c9c-d5f6d0eac55a,0.2,0.001,1000,5,100
22a32fe9-3093-49d6-a862-fc9f4e737c0c,0.2,0.01,10,5,100
b60e68f7-e36b-42b8-8d80-79ca482abf02,0.2,0.01,10,5,100
54284308-4568-491e-b9f0-b41893e5884d,0.2,0.01,10,5,100
6297f74c-b06f-47d2-bdf1-45bfdf37d445,0.2,0.01,10,5,100
ac6a900d-6529-423a-822c-69c2726fd93d,0.2,0.01,10,5,100
041f678a-7bee-455f-b916-c3c4faf1ef2d,0.2,0.01,100,5,100
c4d2fc5e-0c60-4182-81b4-a470d393740b,0.2,0.01,100,5,100
c75cd348-a09c-4c00-8e89-448eeec252a6,0.2,0.01,100,5,100
12cb90d7-852c-4f7e-8dda-c04b6bde64df,0.2,0.01,100,5,100
02d4df6c-8d12-4e57-9452-cb9b2a07f83a,0.2,0.01,100,5,100
ea6c122a-25b3-4aeb-91d9-b1574a8a98ef,0.2,0.01,1000,5,100
c5b809da-8800-4c37-b76d-f10e2bc4b689,0.2,0.01,1000,5,100
90569abf-ed25-495f-a222-8bf33d902cef,0.2,0.01,1000,5,100
083f2618-6627-49a7-9bcc-126901a807e9,0.2,0.01,1000,5,100
d6e8a033-fc6d-4d3d-b327-7cf74cad5d33,0.2,0.01,1000,5,100
7dc6bc9a-b98d-4a68-b557-3454768c4732,0.3,0.0001,10,5,100
74cf32b6-d41f-4a84-914f-dac8cc2e4efa,0.3,0.0001,10,5,100
0d28b503-6f40-488d-8406-82411b700194,0.3,0.0001,10,5,100
8fa30f5b-42aa-48ee-8266-c83b6caf5cdf,0.3,0.0001,10,5,100
e3338f96-7a4c-4d30-b937-fa478dde4cda,0.3,0.0001,10,5,100
685f3b72-81ca-47af-8287-a23bc0f01ed1,0.3,0.0001,100,5,100
9416c768-ab07-43e5-9266-3ab3b9af3878,0.3,0.0001,100,5,100
494806f6-324f-4875-8bc6-c1ce327fce75,0.3,0.0001,100,5,100
d0c051e8-6012-4bdc-ab28-86eb93382f65,0.3,0.0001,100,5,100
44b9d1e1-a3ed-4e3e-a4d6-1329693c1959,0.3,0.0001,100,5,100
e2e200f7-e6e8-4cf2-a6c3-1f49e2cce760,0.3,0.0001,1000,5,100
f8d0a8f7-dd9b-497d-b65f-51e93c5bdb77,0.3,0.0001,1000,5,100
f5994dc6-1b1b-41e5-aa49-762bb414635b,0.3,0.0001,1000,5,100
c2ba83c4-8c53-4ea6-8a57-c18b3d7175b2,0.3,0.0001,1000,5,100
a63b7e2d-7b90-4f5f-aeb4-fe7c492c9ce3,0.3,0.0001,1000,5,100
7144e102-750d-4898-906a-3c7d0854d905,0.3,0.001,10,5,100
e77017a0-633b-4ce8-8fb3-d8d01f1b9619,0.3,0.001,10,5,100
32756047-8b07-4174-9a9d-73f491716d9f,0.3,0.001,10,5,100
e46305b8-85ca-4ca7-ba3c-837e20f5015e,0.3,0.001,10,5,100
c22cb065-1901-4e49-ae2c-f93291acd720,0.3,0.001,10,5,100
d7cfc42d-ba6a-425b-a5ac-e1e89e8e53ea,0.3,0.001,100,5,100
d85034e2-c63d-479f-b239-c1ff43aeb13d,0.3,0.001,100,5,100
9ab1e557-ac25-43c8-a439-774acc339186,0.3,0.001,100,5,100
c2da9f27-6a98-475a-a4b6-fa891d210497,0.3,0.001,100,5,100
5240ccd3-e0fb-49ce-9dd5-20aded80b07d,0.3,0.001,100,5,100
0164fa42-8152-43ae-b82e-41dc557f6b3c,0.3,0.001,1000,5,100
cea31d41-4a0f-4d74-b979-8b4df66ad218,0.3,0.001,1000,5,100
9b49672b-caf0-40d6-b199-7cdd67413909,0.3,0.001,1000,5,100
c15ac792-964b-4e97-90a4-3e80bfb61af2,0.3,0.001,1000,5,100
3a9a6446-226c-4053-9fd4-2d15571b5554,0.3,0.001,1000,5,100
c17453df-dc40-46d5-9fb7-0b3bf51a47cd,0.3,0.01,10,5,100
bc8deaa8-6219-4dc3-8482-e74805172e0a,0.3,0.01,10,5,100
c0cc1a0b-168a-4e10-806b-b9e75bbb244c,0.3,0.01,10,5,100
3458f704-9809-499a-8b13-f0143c01ed58,0.3,0.01,10,5,100
dc0dcefa-270f-4cb9-aeba-b804710e8e94,0.3,0.01,10,5,100
8e1c6c3a-641e-40ea-9e27-7519b2bd88d7,0.3,0.01,100,5,100
b80db6eb-b3b2-46bf-b1be-1ce66e417613,0.3,0.01,100,5,100
8e2a37e6-143e-45d7-9264-8cd2c7365999,0.3,0.01,100,5,100
64739ec2-3f7a-4337-92b7-a3747873cf83,0.3,0.01,100,5,100
5b9c87c9-ec77-4307-bbb2-43f5fa5aa3a7,0.3,0.01,100,5,100
5da95c5c-1cc7-4c11-95ad-ddf9f9da412b,0.3,0.01,1000,5,100
dd32947f-701a-45cf-8db6-3e1628e8d2c4,0.3,0.01,1000,5,100
e211360d-52a7-4c8f-9b41-a60c6b908257,0.3,0.01,1000,5,100
3abc683c-05db-493f-9c15-577de6e663af,0.3,0.01,1000,5,100
7fe5c9cf-5028-4344-8629-ec03b7b6c947,0.3,0.01,1000,5,100
c9ca8327-7f90-42b3-96da-324d3f02c71b,0.4,0.0001,10,5,100
4ec76c6d-71f4-4da1-a88b-0e8dce3a40d7,0.4,0.0001,10,5,100
ffe79957-2db8-41c5-b551-edac507d199c,0.4,0.0001,10,5,100
beb3c146-4e58-46ce-aa75-decd63764ee2,0.4,0.0001,10,5,100
4b84f7c2-57fd-4e71-9125-805c0b730058,0.4,0.0001,10,5,100
76b224d4-0baf-4940-bc33-ec207b8d4e50,0.4,0.0001,100,5,100
f2c11cf5-bf97-46e3-bcee-fb736ec03831,0.4,0.0001,100,5,100
5c2357e9-34c7-40c8-90f2-91c3fc42292e,0.4,0.0001,100,5,100
9fd75747-9644-4143-afd5-ca43d64ca112,0.4,0.0001,100,5,100
d6228a08-e312-4caf-abf0-675daf29ed7b,0.4,0.0001,100,5,100
a00b8769-716c-4245-b023-6009826204b6,0.4,0.0001,1000,5,100
637b73c1-1b86-47bc-8077-903bc4d2a875,0.4,0.0001,1000,5,100
12b67ffa-ce6e-4b53-9f77-d98464b530fd,0.4,0.0001,1000,5,100
412ff09a-f9c0-4d2b-a3e6-5a533eb7b0be,0.4,0.0001,1000,5,100
a4e2dfa0-1f59-4a04-8233-90d6ec809d13,0.4,0.0001,1000,5,100
0c6ad56d-ce55-4d6d-8028-2b5bcb86cc93,0.4,0.001,10,5,100
ac4b9122-c23d-4895-ac5d-751580dd9d80,0.4,0.001,10,5,100
cc8c456b-39a3-4741-bbdd-4a24a84d9689,0.4,0.001,10,5,100
37309447-2c9f-429a-94ba-5844e352ab03,0.4,0.001,10,5,100
6db0da4b-b517-4551-95a7-d3530fc8408c,0.4,0.001,10,5,100
e5febb42-9fc0-4989-8a2b-55a510fa8041,0.4,0.001,100,5,100
23d67c59-8d38-4e01-a2fd-78d0d7f2c4c7,0.4,0.001,100,5,100
ad6c0693-3b5a-46bc-b86d-1ee9b84cf527,0.4,0.001,100,5,100
3ea4ca5f-1642-4c6a-91f2-7f678b22fa48,0.4,0.001,100,5,100
16b9f2af-4357-4254-b10c-4e4527190de9,0.4,0.001,100,5,100
fafc5430-79c3-4c0e-bbd5-38847cd529a4,0.4,0.001,1000,5,100
fbd5b0ae-9b04-4085-a594-2b216844fe96,0.4,0.001,1000,5,100
dff0abbe-a33d-405d-85a3-83d5c04e094c,0.4,0.001,1000,5,100
bf5c5ad5-c0a1-45ee-903d-4b2bdfe7914c,0.4,0.001,1000,5,100
b54f1053-df03-432b-9169-9d2facb981f2,0.4,0.001,1000,5,100
f891a4ce-1bd2-48b7-a4c3-1ebfd57eb59a,0.4,0.01,10,5,100
6c61f12d-7e79-4658-a9a8-2526757c893a,0.4,0.01,10,5,100
49726b8f-a45f-4762-aa53-e61ad4dfd71d,0.4,0.01,10,5,100
81fed629-c385-4ffe-a584-144174147a56,0.4,0.01,10,5,100
47ad518f-86ce-45f7-8b3f-930fd48be8e5,0.4,0.01,10,5,100
06fc18c5-ddeb-4f42-959a-f1d22abb7f04,0.4,0.01,100,5,100
30704af8-7514-4e27-8d6f-97700b0fe219,0.4,0.01,100,5,100
3c19f239-da54-4fd4-904b-ef79bea12419,0.4,0.01,100,5,100
4b46d058-d4d2-4ac7-b235-7b517e06d677,0.4,0.01,100,5,100
624bbab3-1e5e-4386-994e-3f09d12fb23e,0.4,0.01,100,5,100
88d90962-b956-4efd-856e-dde1dc60ba07,0.4,0.01,1000,5,100
79f1c9c8-c865-4162-a0c1-e7bcdcaa4003,0.4,0.01,1000,5,100
970d1ce6-b35b-43ce-b8ac-b5e29a76fb68,0.4,0.01,1000,5,100
2f668a80-fef5-4fe6-b138-1f27d0f7b1b8,0.4,0.01,1000,5,100
df08cf72-cde6-4452-9548-481635049648,0.4,0.01,1000,5,100
dadedc08-2186-45b4-bf6e-ee05becf8885,0.5,0.0001,10,5,100
8c13370b-7502-42fd-ac85-2c3b8d4e00ac,0.5,0.0001,10,5,100
a6e131d6-a1e4-471f-a0bb-8985550565b8,0.5,0.0001,10,5,100
bd64627d-771d-49c4-a7a0-f995944a86fd,0.5,0.0001,10,5,100
700de440-f7d8-4c48-b7a4-156e3406c4fc,0.5,0.0001,10,5,100
f589fb50-c91b-4ce1-a033-61a108fe89f2,0.5,0.0001,100,5,100
9095f59b-81b1-4519-953d-966b132894ac,0.5,0.0001,100,5,100
e411b317-d055-455f-afd1-00dd71eb353c,0.5,0.0001,100,5,100
00f88d0d-8fbe-4dad-9420-821e16d43744,0.5,0.0001,100,5,100
8cdf498b-8284-4eea-8ef3-40e040c37e06,0.5,0.0001,100,5,100
b29b3884-ff67-458e-89b7-c11517171f10,0.5,0.0001,1000,5,100
b85cef30-981e-4d33-9967-6b88b63996c2,0.5,0.0001,1000,5,100
e688aac0-0caa-4544-b547-51825366e7e9,0.5,0.0001,1000,5,100
eaf22d5c-28d8-4934-b4c4-94a0fe276faf,0.5,0.0001,1000,5,100
917766c9-041d-481e-a0ab-28ad2d40bc86,0.5,0.0001,1000,5,100
3c490b00-2758-4c43-ba19-c95274d27b7d,0.5,0.001,10,5,100
1585e13a-21aa-4277-a1bb-b31c022882b9,0.5,0.001,10,5,100
28a798f6-c742-446d-9e4f-63c143d1f21c,0.5,0.001,10,5,100
365ed823-cf96-43e2-ad0a-f00ddc9eaa11,0.5,0.001,10,5,100
0dd788c7-d751-463c-b5a7-2dddc228274e,0.5,0.001,10,5,100
4eb075ab-c558-4b6f-a5f3-b772aeb28259,0.5,0.001,100,5,100
d1ee4ed5-db82-4028-94a5-532a5af1a26d,0.5,0.001,100,5,100
9f7cfb86-9dfa-4676-9ecf-aba82c717f69,0.5,0.001,100,5,100
06103f55-ed08-4d72-87f2-98ed56b540d9,0.5,0.001,100,5,100
2d863367-933b-448b-917d-718319c4b19c,0.5,0.001,100,5,100
d349bc5b-0bf5-41a7-bacc-8e3de6e55d19,0.5,0.001,1000,5,100
306a42dd-cc50-4388-9735-81196e1d9416,0.5,0.001,1000,5,100
ee26346c-056c-44ba-b89d-e18c778cabdc,0.5,0.001,1000,5,100
8f03f220-a378-4983-8b9f-0ed79d8885f1,0.5,0.001,1000,5,100
139b1bae-27b7-4598-a2a9-188dababf761,0.5,0.001,1000,5,100
268ce0eb-6a86-45fe-90b9-735b64cfa9fc,0.5,0.01,10,5,100
3accc2c8-d616-434f-bd0f-eda68b61fa0e,0.5,0.01,10,5,100
aa5fcf36-7aa9-4207-8aba-ecd02f5a238a,0.5,0.01,10,5,100
8f783ab7-c669-4849-b154-c1f0870221af,0.5,0.01,10,5,100
3be81faf-e2e4-4dbb-baac-a6ef71588221,0.5,0.01,10,5,100
a82d7104-2e4c-439c-992a-52142e93e654,0.5,0.01,100,5,100
ada75fa7-76db-4eac-b13f-fb49e189440a,0.5,0.01,100,5,100
eafd8374-3366-4e06-8dd5-04786985d7c8,0.5,0.01,100,5,100
6628ec1d-3aa9-4843-a1fa-d4c717a59f99,0.5,0.01,100,5,100
efe483ae-97aa-431a-a119-432a43073275,0.5,0.01,100,5,100
bd8defad-f25d-453a-a751-3c71d5137adf,0.5,0.01,1000,5,100
a672f64f-08f2-42ad-948f-1797da133001,0.5,0.01,1000,5,100
e1aab4bf-4713-46e5-aa41-344012f6b1d0,0.5,0.01,1000,5,100
2ffbd827-ccf1-4aa0-b80b-105211465d86,0.5,0.01,1000,5,100
dbdbf8d2-0437-4039-afe7-5e6f51374aeb,0.5,0.01,1000,5,100
60300fbb-6a4d-4836-9e29-8ae15f92baaa,1,0.0001,10,5,100
08c46658-d8db-4e2e-983f-5ca5f4d9d9b1,1,0.0001,10,5,100
56b62d55-3680-4581-a6f4-9f12eae8b4c0,1,0.0001,10,5,100
376ff7e2-657f-447b-9223-85f07c81c014,1,0.0001,10,5,100
cab0b62d-a7e2-4b2b-a4aa-7722aa8c5faa,1,0.0001,10,5,100
ba86af3e-5687-4f24-b0f7-da0020784fb0,1,0.0001,100,5,100
cf01a455-5a1c-4648-8239-7c40501d7ceb,1,0.0001,100,5,100
f55ddc14-18c4-4382-88ef-1d12839a73e1,1,0.0001,100,5,100
06797bb5-a74d-4110-93a7-94f33325df40,1,0.0001,100,5,100
51904f9f-6e95-455a-ba08-469915cdf945,1,0.0001,100,5,100
e1c7204a-4382-48b3-b137-71080a1e7b86,1,0.0001,1000,5,100
fff20e62-b69b-47b8-9606-6e5c9199379f,1,0.0001,1000,5,100
665bd3de-b681-4600-9140-ae71f7878f2c,1,0.0001,1000,5,100
dec780bf-e5ec-4f3b-91d3-076a436dc2c5,1,0.0001,1000,5,100
92203ec7-ad07-4513-aa2d-f07ca1d038b9,1,0.0001,1000,5,100
37f01548-8c4a-49f9-9fe3-eed69bc6abc7,1,0.001,10,5,100
48560e23-716a-4291-88e9-5c1bfe29a21f,1,0.001,10,5,100
ca968e95-c0ba-4ee4-804d-25e18e7ee732,1,0.001,10,5,100
fe5d93c2-5786-4c75-a3e9-ab25eaaf6bb8,1,0.001,10,5,100
8a41090c-e5f4-4b9c-a81b-6a4eb43456f3,1,0.001,10,5,100
263a9044-f7fc-436c-8d6b-e98c7f39f018,1,0.001,100,5,100
36043296-9de4-4e32-a7ac-a8c7ffee4cb2,1,0.001,100,5,100
b5e7618b-f5d6-489b-bbd7-3f89a25cfa3d,1,0.001,100,5,100
ba9d6246-5205-4d32-a9e3-130947eac2b8,1,0.001,100,5,100
4b1b95ac-419e-41fc-936c-66a7c7d67627,1,0.001,100,5,100
10fdfcaf-775e-44a8-ae83-76d7455ae97c,1,0.001,1000,5,100
a7851d63-9127-49af-bc5d-463df9190f6a,1,0.001,1000,5,100
b34bb755-0a4a-4b8c-ac20-7d3e37df7641,1,0.001,1000,5,100
eb0e9f05-bed5-4a48-a672-9a21290d1069,1,0.001,1000,5,100
d05aac42-109c-4882-ac93-e123d45e06a2,1,0.001,1000,5,100
7feeb0a3-ad60-48a4-ba5f-fa8b15c5f722,1,0.01,10,5,100
b11e467f-99df-4c5f-a415-b653565cbca8,1,0.01,10,5,100
d817f900-5abe-4acf-b9e6-aa4746e36263,1,0.01,10,5,100
138183fe-2749-4155-a8b3-0191e2eea1ff,1,0.01,10,5,100
aa250d37-493e-446e-990b-f059099e19c5,1,0.01,10,5,100
38635da8-2319-4690-9950-b5ec64e39541,1,0.01,100,5,100
294a963a-5281-4157-b244-81c1f0954b68,1,0.01,100,5,100
a51e883f-4de4-4225-9b76-044800978710,1,0.01,100,5,100
d4dece55-b924-4929-8dd9-b8852de31eb2,1,0.01,100,5,100
5a2ba86f-b411-4611-a265-d6d59227f194,1,0.01,100,5,100
4e9a78f5-bfac-459c-9d0c-655e564a6915,1,0.01,1000,5,100
c7baeb7a-7498-4cd5-95e0-d0d36cf36770,1,0.01,1000,5,100
46fdc5e2-c618-4528-8bce-f2c9fe4502ae,1,0.01,1000,5,100
04d6a7e9-79b1-405e-ba3e-0830d9ff802e,1,0.01,1000,5,100
d252dc84-e9cc-4481-9ea3-4e43a6aa5b7e,1,0.01,1000,5,100
9494dcb3-f0bb-4786-ac3c-055307a1dbc5,0.1,1e-05,100,5,1000
01a28f98-3bc2-4f9f-b859-5bc8a09d39fb,0.1,1e-05,100,5,1000
9d81fc5d-6e1a-44c8-a860-1d3828899744,0.1,1e-05,100,5,1000
50604466-2707-4b9a-86db-650437dea771,0.1,1e-05,100,5,1000
12b0bcaa-9a97-4ac9-be9d-cff0caed3314,0.1,1e-05,100,5,1000
6d7f906c-b92f-4c13-aebc-dfffa0a5ca0d,0.1,1e-05,1000,5,1000
4d25bc50-ac57-4f83-a955-a5c79ca53e21,0.1,1e-05,1000,5,1000
191d9ec9-edd8-4755-8fac-b1b0da4cc4e3,0.1,1e-05,1000,5,1000
4d1f69ad-3ee2-400d-b6c5-d6cec4c9f36a,0.1,1e-05,1000,5,1000
b4cf9ee3-47e3-4d13-b055-2d617a259b4d,0.1,1e-05,1000,5,1000
c9fd8e9c-1c35-4ade-b299-f9147130761c,0.1,1e-05,10000,5,1000
4452cad6-e5ce-43a7-95ac-4189f3187bcc,0.1,1e-05,10000,5,1000
b354cce9-3f1b-4e52-810b-952b674ef6da,0.1,1e-05,10000,5,1000
72dafd2a-58dc-44a7-81c7-f4086c696a87,0.1,1e-05,10000,5,1000
024ccf37-2333-4049-a8d1-ddb25c96f2b8,0.1,1e-05,10000,5,1000
6de0e96d-b750-4317-985b-2aa050c4b216,0.1,0.0001,100,5,1000
6613ff15-0939-4d53-ab00-8b0a49523d2d,0.1,0.0001,100,5,1000
a104e070-02c4-4bd9-b6e3-aa8ab622e783,0.1,0.0001,100,5,1000
a5509822-7f07-4b10-a5a9-92927a960221,0.1,0.0001,100,5,1000
7af638a4-5d4d-4b83-8006-52c0d9e45394,0.1,0.0001,100,5,1000
cf5d222f-5094-406d-b154-757710c32bf1,0.1,0.0001,1000,5,1000
a64a4c66-2b0e-4f52-8670-0db62820b4cc,0.1,0.0001,1000,5,1000
ec8374f5-b625-416f-939f-0fa01e90db56,0.1,0.0001,1000,5,1000
fa5e13af-a505-4072-acad-b28f16df5d08,0.1,0.0001,1000,5,1000
1a947ae4-525d-445f-baff-4252201438d7,0.1,0.0001,1000,5,1000
294f9da1-faba-4139-b410-ae80e72d904e,0.1,0.0001,10000,5,1000
fe3e64b1-297f-402d-b54c-9b5fa1527184,0.1,0.0001,10000,5,1000
42068082-11b6-4e70-9222-32918a729ee9,0.1,0.0001,10000,5,1000
e64cedfd-6dbb-4b6c-8a97-b3b299c108d6,0.1,0.0001,10000,5,1000
b1d2a5d8-593f-4914-ad64-aa2fd9b9c9fe,0.1,0.0001,10000,5,1000
8cbc62b5-9ed8-4f3a-b9aa-d66b61d05c1a,0.1,0.001,100,5,1000
df26ae50-8194-476f-94e3-55dc100b35cf,0.1,0.001,100,5,1000
